,basic_date,stockname,close_value,volume_value,diff_value,diff_value_rate,ma3_value,ma3_rate,cv3d_diff_rate,vv_diff_value,vv_ma3_value,vv_ma3_rate,ud_3d
0,20170116,에듀파트너,891,91,,,,,,,,,0
1,20170117,에듀파트너,891,4192,0.0,0.0,,,,4101.0,,,0
2,20170118,에듀파트너,892,1102,1.0,0.1122,891.3333333333334,,1.122334455667789,-3090.0,1795.0,,0
3,20170119,에듀파트너,901,4,9.0,1.009,894.6666666666666,,-12.457912457912458,-1098.0,1766.0,,0
4,20170120,에듀파트너,780,11,-121.0,-13.4295,857.6666666666666,-7.928197456993277,-12.443946188340806,7.0,372.3333333333333,-99.66573816155989,0
5,20170123,에듀파트너,781,3,1.0,0.1282,820.6666666666666,-12.742175856929954,-13.318534961154274,-8.0,6.0,-99.67912419781048,0
6,20170124,에듀파트너,781,3,0.0,0.0,780.6666666666666,-4.391760590750093,15.128205128205128,0.0,5.666666666666667,-99.37332139659803,0
7,20170125,에듀파트너,898,1,117.0,14.9808,820.0,10.032493907392368,31.88220230473752,-2.0,2.3333333333333335,-44.44444444444444,0
8,20170126,에듀파트너,1030,6,132.0,14.6993,903.0,32.7070879590094,51.08834827144686,5.0,3.3333333333333335,464.7058823529411,1
9,20170131,에듀파트너,1180,89,150.0,14.5631,1036.0,30.691056910569113,11.915367483296215,83.0,32.0,1557.1428571428567,0
10,20170201,에듀파트너,1005,21,-175.0,-14.8305,1071.6666666666667,16.648209671465477,-5.339805825242718,-68.0,38.666666666666664,11110.0,0
11,20170202,에듀파트너,975,1011,-30.0,-2.9851,1053.3333333333333,-0.25740025740026473,-5.084745762711865,990.0,373.6666666666667,985.4166666666666,0
12,20170203,에듀파트너,1120,10,145.0,14.8718,1033.3333333333333,5.132192846034214,27.860696517412936,-1001.0,347.3333333333333,788.7931034482759,0
13,20170206,에듀파트너,1285,10,165.0,14.7321,1126.6666666666667,22.78481012658228,51.28205128205128,0.0,343.6666666666667,0.08920606601248378,1
14,20170207,에듀파트너,1475,1102,190.0,14.786,1293.3333333333333,43.70967741935485,51.33928571428571,1092.0,374.0,7.677543186180428,1
15,20170208,에듀파트너,1695,10,220.0,14.9153,1485.0,42.45562130177514,28.01556420233463,-1092.0,374.0,75.7516973811833,0
16,20170209,에듀파트너,1645,700,-50.0,-2.9499,1605.0,22.293814432989702,-4.745762711864407,690.0,604.0,-36.63101604278075,0
17,20170210,에듀파트너,1405,1,-240.0,-14.5897,1581.6666666666667,-4.713804713804714,-29.49852507374631,-699.0,237.0,-37.4331550802139,-1
18,20170213,에듀파트너,1195,1,-210.0,-14.9466,1415.0,-24.714434060228456,-37.68996960486322,0.0,234.0,-99.83443708609272,-1
19,20170214,에듀파트너,1025,1,-170.0,-14.2259,1208.3333333333333,-28.451001053740775,-16.370106761565836,0.0,1.0,-71.16736990154713,0
20,20170215,에듀파트너,1175,203,150.0,14.6341,1131.6666666666667,-24.61719670200235,-16.317991631799163,202.0,68.33333333333333,1027.3504273504275,0
21,20170216,에듀파트너,1000,7710,-175.0,-14.8936,1066.6666666666667,-16.52413793103448,-16.975609756097562,7507.0,2638.0,263700.0,0
22,20170217,에듀파트너,851,1,-149.0,-14.9,1008.6666666666666,-21.11929307805597,-29.617021276595747,-7709.0,2638.0,4247.317073170731,-1
23,20170220,에듀파트너,827,1201,-24.0,-2.8202,892.6666666666666,-25.468750000000007,-29.299999999999997,1200.0,2970.6666666666665,-84.78645438463482,-1
24,20170221,에듀파트너,707,2,-120.0,-14.5103,795.0,-22.43886318572372,-4.465334900117509,-1199.0,401.3333333333333,-67.10892089967147,0
25,20170222,에듀파트너,813,1400,106.0,14.9929,782.3333333333334,-17.363704256908143,-16.203143893591292,1398.0,867.6666666666666,-84.245960502693,0
26,20170223,에듀파트너,693,2,-120.0,-14.7601,737.6666666666666,-8.637316561844859,-4.809052333804809,-1398.0,468.0,141.1129568106312,0
27,20170224,에듀파트너,673,1501,-20.0,-2.886,726.3333333333334,-17.341286749041338,-29.397293972939732,1499.0,967.6666666666666,-42.18209757971571,-1
28,20170227,에듀파트너,574,2,-99.0,-14.7103,646.6666666666666,-13.827383642114777,-4.761904761904762,-1499.0,501.6666666666667,7.122507122507119,0
29,20170228,에듀파트너,660,1,86.0,14.9826,635.6666666666666,-17.622762735199633,-16.64190193164933,-1.0,501.3333333333333,-99.8622115053393,0
30,20170302,에듀파트너,561,1,-99.0,-15.0,598.3333333333334,-8.041237113402062,-1.9163763066202089,0.0,1.3333333333333333,-99.80066445182725,0
31,20170303,에듀파트너,563,1,2.0,0.3565,594.6666666666666,-11.484006292606189,-14.545454545454545,0.0,1.0,-99.80053191489363,0
32,20170306,에듀파트너,564,1,1.0,0.1776,562.6666666666666,-5.793871866295277,0.53475935828877,0.0,1.0,-24.999999999999993,0
33,20170307,에듀파트너,564,1,0.0,0.0,563.6666666666666,-9.809417040358733,-14.564831261101244,0.0,1.0,0.0,0
34,20170308,에듀파트너,481,1,-83.0,-14.7163,536.3333333333334,-5.33175355450237,-1.950354609929078,0.0,1.0,69966.66666666666,0
35,20170309,에듀파트너,553,2100,72.0,14.9688,532.6666666666666,-7.09639266706091,-4.787234042553192,2099.0,700.6666666666666,129966.66666666667,0
36,20170310,에듀파트너,537,1801,-16.0,-2.8933,523.6666666666666,-3.791174642635184,-4.781704781704782,-299.0,1300.6666666666667,130000.0,0
37,20170313,에듀파트너,458,2,-79.0,-14.7114,516.0,-4.818523153942421,-4.882459312839059,-1799.0,1301.0,-14.176974310180771,0
38,20170314,에듀파트너,526,1,68.0,14.8472,507.0,-3.246339910884776,-0.186219739292365,-1.0,601.3333333333334,-99.89748846745259,0
39,20170315,에듀파트너,536,1,10.0,1.9011,506.6666666666667,2.2609819121446955,13.755458515283841,0.0,1.3333333333333333,-51.24263387138098,0
40,20170316,에듀파트너,521,1901,-15.0,-2.7985,527.6666666666666,4.733727810650888,1.9011406844106464,1900.0,634.3333333333334,110.80931263858093,0
41,20170317,에듀파트너,536,1901,15.0,2.8791,531.0,3.486842105263162,-3.731343283582089,0.0,1267.6666666666667,95025.0,0
42,20170320,에듀파트너,516,3,-20.0,-3.7313,524.3333333333334,-0.9475679090334808,-0.9596928982725527,-1898.0,1268.3333333333333,0.5780346820809188,0
43,20170321,에듀파트너,516,10,0.0,0.0,522.6666666666666,-7.59573132454488,-17.91044776119403,7.0,638.0,-99.60557454641072,0
44,20170322,에듀파트너,440,2,-76.0,-14.7287,490.6666666666667,-7.056579783852522,-1.937984496124031,-8.0,5.0,-99.65834428383707,0
